Date,Home,Away,League
2026-08-21,Arsenal,Coventry City,Premier_League
2026-08-22,Brentford,Tottenham Hotspur,Premier_League
2026-08-22,Everton,Crystal Palace,Premier_League
2026-08-22,Hull City,Manchester United,Premier_League
2026-08-22,Ipswich Town,Sunderland,Premier_League
2026-08-22,Nottingham Forest,Leeds United,Premier_League
2026-08-23,Brighton & Hove Albion,Aston Villa,Premier_League
2026-08-23,Manchester City,AFC Bournemouth,Premier_League
2026-08-23,Newcastle United,Liverpool,Premier_League
2026-08-24,Fulham,Chelsea,Premier_League
2026-08-28,Crystal Palace,Manchester City,Premier_League
2026-08-29,AFC Bournemouth,Everton,Premier_League
2026-08-29,Coventry City,Hull City,Premier_League
2026-08-29,Liverpool,Nottingham Forest,Premier_League
2026-08-29,Tottenham Hotspur,Newcastle United,Premier_League
2026-08-30,Chelsea,Brighton & Hove Albion,Premier_League
2026-08-30,Leeds United,Brentford,Premier_League
2026-08-30,Manchester United,Ipswich Town,Premier_League
2026-08-30,Sunderland,Fulham,Premier_League
2026-08-31,Aston Villa,Arsenal,Premier_League
2026-08-14,Wolverhampton Wanderers,Blackburn Rovers,Championship
2026-08-15,Bolton Wanderers,Preston North End,Championship
2026-08-15,Bristol City,Millwall,Championship
2026-08-15,Charlton Athletic,Derby County,Championship
2026-08-15,Middlesbrough,Lincoln City,Championship
2026-08-15,Norwich City,West Bromwich Albion,Championship
2026-08-15,Portsmouth,Queens Park Rangers,Championship
2026-08-15,Sheffield United,Birmingham City,Championship
2026-08-15,Stoke City,Swansea City,Championship
2026-08-16,Burnley,West Ham United,Championship
2026-08-16,Watford,Southampton,Championship
2026-08-17,Cardiff City,Wrexham,Championship
2026-08-22,Birmingham City,Bristol City,Championship
2026-08-22,Blackburn Rovers,Middlesbrough,Championship
2026-08-22,Derby County,Cardiff City,Championship
2026-08-22,Lincoln City,Portsmouth,Championship
2026-08-22,Millwall,Norwich City,Championship
2026-08-22,Preston North End,Wolverhampton Wanderers,Championship
2026-08-22,Queens Park Rangers,Bolton Wanderers,Championship
2026-08-22,Southampton,Stoke City,Championship
2026-08-22,Swansea City,Sheffield United,Championship
2026-08-22,West Ham United,Charlton Athletic,Championship
2026-08-22,Wrexham,Watford,Championship
2026-08-23,West Bromwich Albion,Burnley,Championship
2026-08-28,Wrexham,Birmingham City,Championship
2026-08-29,Blackburn Rovers,Queens Park Rangers,Championship
2026-08-29,Bolton Wanderers,Lincoln City,Championship
2026-08-29,Bristol City,Portsmouth,Championship
2026-08-29,Cardiff City,Sheffield United,Championship
2026-08-29,Charlton Athletic,Preston North End,Championship
2026-08-29,Derby County,Swansea City,Championship
2026-08-29,Middlesbrough,West Bromwich Albion,Championship
2026-08-29,Norwich City,Burnley,Championship
2026-08-29,Southampton,Millwall,Championship
2026-08-29,Watford,West Ham United,Championship
2026-08-29,Wolverhampton Wanderers,Stoke City,Championship
2026-08-15,Barnsley,Bromley,League_1
2026-08-15,Blackpool,Wycombe Wanderers,League_1
2026-08-15,Bradford City,Peterborough United,League_1
2026-08-15,Burton Albion,Stevenage,League_1
2026-08-15,Cambridge United,Wigan Athletic,League_1
2026-08-15,Huddersfield Town,AFC Wimbledon,League_1
2026-08-15,Leyton Orient,Sheffield Wednesday,League_1
2026-08-15,Mansfield Town,Doncaster Rovers,League_1
2026-08-15,Notts County,Leicester City,League_1
2026-08-15,Oxford United,Milton Keynes Dons,League_1
2026-08-15,Plymouth Argyle,Stockport County,League_1
2026-08-15,Reading,Luton Town,League_1
2026-08-22,AFC Wimbledon,Reading,League_1
2026-08-22,Bromley,Cambridge United,League_1
2026-08-22,Doncaster Rovers,Barnsley,League_1
2026-08-22,Leicester City,Burton Albion,League_1
2026-08-22,Luton Town,Notts County,League_1
2026-08-22,Milton Keynes Dons,Huddersfield Town,League_1
2026-08-22,Peterborough United,Mansfield Town,League_1
2026-08-22,Stevenage,Oxford United,League_1
2026-08-22,Stockport County,Blackpool,League_1
2026-08-22,Wigan Athletic,Leyton Orient,League_1
2026-08-22,Wycombe Wanderers,Plymouth Argyle,League_1
2026-08-29,Blackpool,Peterborough United,League_1
2026-08-29,Cambridge United,Huddersfield Town,League_1
2026-08-29,Leyton Orient,Barnsley,League_1
2026-08-29,Milton Keynes Dons,Leicester City,League_1
2026-08-29,Notts County,Burton Albion,League_1
2026-08-29,Plymouth Argyle,Bradford City,League_1
2026-08-29,Sheffield Wednesday,Bromley,League_1
2026-08-29,Stevenage,Doncaster Rovers,League_1
2026-08-29,Stockport County,Wycombe Wanderers,League_1
2026-08-30,AFC Wimbledon,Wigan Athletic,League_1
2026-08-30,Mansfield Town,Luton Town,League_1
2026-08-15,Accrington Stanley,Colchester United,League_2
2026-08-15,Barnet,Salford City,League_2
2026-08-15,Cheltenham Town,Rotherham United,League_2
2026-08-15,Chesterfield,Fleetwood Town,League_2
2026-08-15,Crawley Town,Crewe Alexandra,League_2
2026-08-15,Gillingham,Walsall,League_2
2026-08-15,Grimsby Town,Exeter City,League_2
2026-08-15,Newport County,Rochdale,League_2
2026-08-15,Northampton Town,Swindon Town,League_2
2026-08-15,Oldham Athletic,Port Vale,League_2
2026-08-15,Tranmere Rovers,Shrewsbury Town,League_2
2026-08-15,York City,Bristol Rovers,League_2
2026-08-22,Bristol Rovers,Newport County,League_2
2026-08-22,Colchester United,Oldham Athletic,League_2
2026-08-22,Crewe Alexandra,Northampton Town,League_2
2026-08-22,Exeter City,Accrington Stanley,League_2
2026-08-22,Fleetwood Town,Gillingham,League_2
2026-08-22,Port Vale,Tranmere Rovers,League_2
